callid,agentid,customerid,pickedup,duration,productsold,total
0,10,179,0,0,0,0
1,5,691,1,116,0,80156
2,10,80,1,165,0,13200
3,6,629,1,128,0,80512
4,8,318,1,205,0,65190
5,7,319,1,225,1,71775
6,10,265,1,211,0,55915
7,9,625,0,0,0,0
8,5,877,0,0,0,0
9,5,191,1,145,0,27695
10,9,494,0,0,0,0
11,5,558,0,0,0,0
12,3,703,1,303,0,213009
13,5,684,1,258,0,176472
14,2,601,1,179,0,107579
15,10,399,0,0,0,0
16,8,460,0,0,0,0
17,10,858,1,118,1,101244
18,4,192,0,0,0,0
19,8,413,1,180,0,74340
20,0,828,1,174,0,144072
21,5,322,1,149,0,47978
22,2,120,1,131,0,15720
23,1,559,1,87,0,48633
24,9,240,1,194,0,46560
25,7,461,1,105,1,48405
26,8,102,1,229,1,23358
27,2,727,1,219,1,159213
28,3,235,1,166,1,39010
29,5,29,1,225,0,6525
30,5,809,1,164,0,132676
31,9,705,0,0,0,0
32,3,992,1,132,0,130944
33,5,1000,1,206,1,206000
34,8,452,1,155,0,70060
35,6,904,1,151,1,136504
36,2,175,1,256,0,44800
37,5,765,1,180,1,137700
38,9,207,1,54,0,11178
39,4,314,1,289,0,90746
40,1,602,1,163,0,98126
41,4,357,1,162,1,57834
42,0,635,1,148,0,93980
43,0,733,1,182,1,133406
44,5,697,0,0,0,0
45,2,396,1,267,0,105732
46,6,664,0,0,0,0
47,10,753,1,135,0,101655
48,8,366,1,182,0,66612
49,7,975,0,0,0,0
50,3,794,1,184,0,146096
51,6,751,0,0,0,0
52,9,176,1,266,0,46816
53,5,670,1,227,0,152090
54,0,972,1,198,0,192456
55,8,517,0,0,0,0
56,9,267,1,130,0,34710
57,10,94,1,151,1,14194
58,7,957,1,204,0,195228
59,4,160,1,107,0,17120
60,3,40,1,220,1,8800
61,6,373,1,137,1,51101
62,8,861,1,104,1,89544
63,5,51,1,166,0,8466
64,10,564,1,289,0,162996
65,7,12,1,259,0,3108
66,6,402,1,249,0,100098
67,4,668,1,175,0,116900
68,8,986,0,0,0,0
69,3,187,1,219,1,40953
70,10,19,1,121,0,2299
71,1,501,1,124,0,62124
72,8,952,1,243,0,231336
73,10,297,1,136,0,40392
74,2,625,1,300,1,187500
75,10,592,1,163,0,96496
76,3,789,1,173,0,136497
77,8,165,0,0,0,0
78,5,674,1,159,0,107166
79,7,482,1,239,0,115198
80,4,73,1,205,0,14965
81,6,764,1,119,1,90916
82,6,221,1,200,0,44200
83,9,201,1,257,0,51657
84,0,77,1,101,0,7777
85,4,627,0,0,0,0
86,2,694,1,203,0,140882
87,6,782,0,0,0,0
88,2,292,1,176,0,51392
89,1,801,1,175,1,140175
90,0,117,1,114,0,13338
91,8,905,1,263,0,238015
92,8,933,1,142,0,132486
93,5,657,0,0,0,0
94,3,900,1,103,1,92700
95,10,267,1,209,0,55803
96,1,866,1,145,0,125570
97,1,425,1,126,0,53550
98,4,521,1,186,0,96906
99,10,835,0,0,0,0
100,-1,585,0,0,0,0
101,3,901,1,136,1,122536
102,2,197,0,0,0,0
103,5,694,0,0,0,0
